ITEM	num	PERGUNTAS	RESPOSTAS
TRABALHO INfANTIL	76	Se não se pode trabalhar antes dessas idades, como é que existem crianças e adolescentes trabalhando em novelas, filmes e outras atividades artísticas? 	Há uma exceção à regra geral que proíbe o trabalho infantil. O Brasil também ratificou a Convenção 138 da OIT sobre a idade mínima para admissão em emprego. A referida Convenção, no artigo 8º, diz que a autoridade competente pode, mediante licenças concedidas em casos individuais, permitir a participação em representações artísticas. Dispõe, porém, que licenças dessa natureza limitarão não apenas o número de horas de duração do emprego ou trabalho, mas estabelecerão as condições em que é permitido.
TRABALHO INfANTIL	77	Quem pode dar a autorização para o trabalho do menor de idade? 	Depois do advento da Emenda Constitucional Nº 45/2004, que ampliou consideravelmente a competência da Justiça do Trabalho, só o Juiz do Trabalho pode apreciar a matéria, concedendo ou não autorização. 
TRABALHO INfANTIL	78	Até que idade a pessoa é considerada criança?	De acordo com o Estatuto da Criança e do Adolescente (ECA), até os 12 (doze) anos incompletos.
TRABALHO INfANTIL	79	Até que idade a pessoa é considerada adolescente? 	Segundo o Estatuto da Criança e do Adolescente - ECA, dos 12 (doze) completos aos 18 (dezoito) anos incompletos de idade. 
TRABALHO INfANTIL	80	O certo não seria considerar trabalho infantil apenas o exercido por crianças? 	O Brasil optou por considerar trabalho infantil aquele realizado antes das idades mínimas permitidas, conforme já dito. Para alguns efeitos, é considerado infantil o trabalho desenvolvido antes dos 18 (dezoito) anos, como é o caso daqueles descritos na lista TIP.
TRABALHO INfANTIL	81	O trabalho noturno é proibido? Em que idade e de que horas a que horas? 	Sim, o trabalho noturno é proibido para quem ainda não completou 18 (dezoito) anos. O legislador deveria ter estabelecido um horário mais dilatado para a proibição, como das 19h de um dia às 7h do outro. Mas não o fez. Assim, só é considerado noturno o trabalho compreendido entre 22h de um dia e 5h do outro na zona urbana. Para o trabalho na zona rural, tem se entendido que se aplica a lei do rural. A proibição, assim, envolve trabalho das 21h às 5h se for na lavoura e das 20h às 4h se for na pecuária.
TRABALHO INfANTIL	82	Há outros tipos de trabalho proibidos para quem ainda não completou 18 anos? 	Sim. Aquele que ainda não tem 18 (dezoito) anos não pode realizar trabalho insalubre, perigoso ou penoso. Também é vedado o trabalho que seja prejudicial à formação do adolescente, ao seu desenvolvimento físico, psíquico, moral e social e em horários e locais que não permitam a frequência à escola. A Lista TIP traz relacionada as proibições. 
TRABALHO INfANTIL	83	Adolescente pode cumprir horas extraordinárias? 	Em regra, não. Aliás, se ele tiver mais de um emprego, as horas têm que ser somadas, não podendo ultrapassar os limites legais. Entretanto, é possível a prorrogação da jornada, somente se autorizada por norma coletiva (Convenção ou Acordo Coletivo de Trabalho), até o limite de duas horas diárias e desde que para compensação dentro da própria semana (exemplo: não trabalhar aos sábados e dividir as horas entre os outros dias da semana). De qualquer modo, o limite semanal de 44 horas (ou outro inferior estabelecido) não poderá ser ultrapassado. Neste caso, se respeitados todos esses parâmetros, não haverá acréscimo salarial (adicional de 50%). Note-se que para o adolescente não é possível acordo individual. 
TRABALHO INfANTIL	84	O que é trabalho em regime familiar? 	Ocorre trabalho em regime familiar quando alguém presta serviços em oficinas nas quais trabalhem exclusivamente pessoas de sua família, hipótese em que é excluído (parágrafo único do artigo 402 da CLT) do âmbito de aplicação do Capítulo que trata da proteção conferida ao trabalhador adolescente (IV). 
TRABALHO INfANTIL	85	O trabalho em regime familiar configura vínculo empregatício? 	Não, pois decorre do exercício do poder familiar (antigo pátrio-mátrio poder), que confere aos pais o direito de, entre outras coisas, dirigir a criação e educação dos filhos, exigindo que estes lhes prestem obediência, respeito e os serviços próprios de sua idade e condição (art. 1634, I e VII do novo Código Civil). De qualquer forma, essa é exceção que, para ser válida, tem as mesmas restrições de jornada que existem para todos os adolescentes, proíbe trabalho noturno, insalubre, perigoso e penoso e veda, igualmente, o trabalho em locais prejudiciais à moralidade. 
TRABALHO INfANTIL	86	O que é contrato de aprendizagem? 	É um contrato especial, que deve ser escrito e tem prazo determinado de no máximo dois anos, com a finalidade principal de assegurar ao aprendiz formação técnicoprofissional metódica. Ou seja: deve haver método que alie trabalho e educação, com aumento progressivo da complexidade das atividades, para qualificação profissional do aprendiz. 
TRABALHO INfANTIL	87	Qual a idade em que é permitida a aprendizagem? 	Como exceção à regra de que o trabalho só é permitido a partir dos 16 anos, a aprendizagem pode começar aos 14. A idade máxima é de 24 anos, mas, se o aprendiz for pessoa com alguma deficiência, esse limite poderá ser ultrapassado, assim como a duração de dois anos. 
TRABALHO INfANTIL	88	O contrato de aprendizagem é de emprego? 	Sim, o aprendiz é empregado. Não é um contrato comum, pois tem contornos especiais. Distingue-se dos demais especialmente pela natureza formativa-educacional voltada para a qualificação profissional, mas tem como pressuposto de validade, inclusive, a anotação na CTPS. 
TRABALHO INfANTIL	89	O aprendiz precisa ir à escola? 	Se o aprendiz, independentemente da idade, não tiver concluído o ensino médio, precisa matricular-se e frequentar a escola para que essa modalidade especial de contratação seja válida. Há exceção apenas em locais em que não seja oferecido ensino médio, quando estará dispensado da escola, desde que haja concluído o ensino fundamental. 
TRABALHO INfANTIL	90	O aprendiz tem direito a salário igual ao dos demais trabalhadores? 	Não. Está assegurado o salário-mínimo-hora ao aprendiz, seja ele adolescente ou jovem. Não haverá direito a receber mais, exceto se houver previsão específica de condição mais benéfica para o aprendiz, e não genérica, como aquela que estipula o piso salarial para a categoria em Convenção ou Acordo Coletivo de Trabalho, que só se aplicam ao aprendiz se dispuserem, elas próprias, nesse sentido. O salário será proporcional às horas trabalhadas. 
TRABALHO INfANTIL	91	As empresas têm a obrigação de contratar aprendizes? 	Sim, são obrigadas por lei a contratar, como aprendizes, 5% dos trabalhadores existentes em cada estabelecimento cujas funções demandem formação profissional, nunca excedendo a 15%. Havendo frações de unidade quando calculadas as percentagens, elas darão lugar à admissão de um aprendiz. 
TRABALHO INfANTIL	92	Todas as empresas a obrigação de contratar aprendizes? 	Estão dispensadas da contratação de aprendizes as microempresas e as empresas de pequeno porte (Lei 9.841/99, art. 11; art. 14, I, do Decreto 5.598/2005). O art. 429 da CLT excepciona, ainda, da limitação nele fixada, as entidades sem fins lucrativos que tenham por objetivo a educação profissional (§ 1º). 
TRABALHO INfANTIL	93	 Entre adolescentes e jovens com mais de 18 anos, deve haver alguma prioridade na contratação? 	Os adolescentes deverão ter prioridade na contratação, exceto em hipóteses em que se sujeitem a insalubridade ou periculosidade (sem que o risco possa ser eliminado ou haja ambiente simulado), a lei exija licença ou autorização vedada para quem ainda não completou 18 anos, ou haja incompatibilidade com o seu desenvolvimento físico, psicológico ou moral. Em tais hipóteses, só jovens com mais de 18 anos de idade poderão ser contratados como aprendizes. 
TRABALHO INfANTIL	94	Há alguma jornada especial para o aprendiz? 	Sim. Os aprendizes que não completaram o ensino fundamental têm jornada diária de trabalho limitada a seis horas, sendo proibidas a prorrogação e compensação de horários (art. 432 da CLT). Se já completado o ensino fundamental, o limite diário é de oito horas. Na jornada deverá estar compreendido o tempo destinado à teoria. 
TRABALHO INfANTIL	95	As aulas teóricas podem ser ministradas na empresa? 	As aulas teóricas devem ser ministradas “em ambiente físico adequado ao ensino, e com meios didáticos apropriados”. A teoria, conforme permite o decreto que regulamenta a aprendizagem (Decreto Nº 5.598/2005 art. 22, § 1º), pode ser dada “sob a forma de aulas demonstrativas no ambiente de trabalho”, sendo vedada, porém, na hipótese, qualquer atividade laboral durante as aulas. Além disso, é vedado ao tomador dos serviços do aprendiz cometer-lhe atividades diversas daquelas previstas no programa de aprendizagem em desenvolvimento. 
TRABALHO INfANTIL	96	O FGTS do aprendiz é igual ao dos demais trabalhadores? 	Não, a lei prevê que o FGTS do aprendiz é de 2%. Isso se justifica em razão da natureza especial do contrato. 
TRABALHO INfANTIL	97	O aprendiz tem direito de fazer coincidir suas férias com as escolares? 	Se for adolescente, como qualquer trabalhador que ainda não completou 18 anos, terá direito de coincidir as férias no trabalho com um dos períodos das férias escolares, conforme o art. 136, § 2º, da CLT. Além disto, não poderá haver fracionamento (art. 134, § 2º, da CLT).
TRABALHO INfANTIL	98	O aprendiz tem direito ao vale-transporte? 	Sim, e o benefício deve compreender os trajetos necessários ao deslocamento, não apenas entre a residência e a empresa (e vice-versa), como também o da instituição onde cursa o programa de aprendizagem, já que o contrato de aprendizagem engloba, também, as horas que passa na instituição. 
TRABALHO INfANTIL	99	O empregador do aprendiz tem alguma vantagem? 	Sim. Em primeiro lugar, proporcionando aprendizagem verdadeira, o empregador contribuirá com a qualificação de adolescentes e jovens, agindo com responsabilidade e no cumprimento da função social da empresa. Além disso – que não é pouco! – poderá, mantendo os melhores aprendizes como empregados depois do término do programa, qualificar melhor seu quadro de pessoal. Não fosse o bastante, em razão das peculiaridades e de sua especial natureza educacional, que se sobrepõe ao aspecto produtivo, o contrato de aprendizagem tem menor custo que o comum. Embora o propósito não seja barateamento puro e simples, a alíquota do FGTS é menor (2%), há exigência apenas de observância inicial do salário-mínimo horário, é possível a contratação por intermédio de entidade qualificada (que normalmente paga encargos menores), enfim, há estímulos para fomentar a contratação de aprendizes. Será, enfim, partícipe da transformação, para melhor, da realidade socioeconômica dos envolvidos e, em última análise, do nosso País.
